FECHA_CORTE;ANIO;ID_MES;MES;DEPARTAMENTO;AEROPUERTO;TIPO_VUELO;TIPO_MOVIMIENTO;NUMERO_PASAJEROS
20260429;2019;1;ENERO;HUÁNUCO;TINGO MARÍA;DOMÉSTICO;MOVIMIENTO GENERAL;2184
20260429;2019;1;ENERO;ICA;MARÍA REICHE NEUMAN;DOMÉSTICO;LLEGADAS;7569
20260429;2019;1;ENERO;ICA;MARÍA REICHE NEUMAN;DOMÉSTICO;SALIDAS;7572
20260429;2019;1;ENERO;ICA;MARÍA REICHE NEUMAN;DOMÉSTICO;MOVIMIENTO GENERAL;15141
20260429;2019;1;ENERO;ICA;PISCO;DOMÉSTICO;LLEGADAS;61
20260429;2019;1;ENERO;ICA;PISCO;DOMÉSTICO;SALIDAS;75
20260429;2019;1;ENERO;ICA;PISCO;DOMÉSTICO;MOVIMIENTO GENERAL;136
20260429;2019;1;ENERO;ICA;PISCO;INTERNACIONAL;LLEGADAS;145
20260429;2019;1;ENERO;ICA;PISCO;INTERNACIONAL;SALIDAS;145
20260429;2019;1;ENERO;ICA;PISCO;INTERNACIONAL;MOVIMIENTO GENERAL;290
20260429;2019;1;ENERO;JUNÍN;FRANCISCO CARLÉ, JAUJA;DOMÉSTICO;LLEGADAS;7223
20260429;2019;1;ENERO;JUNÍN;FRANCISCO CARLÉ, JAUJA;DOMÉSTICO;SALIDAS;7501
20260429;2019;1;ENERO;JUNÍN;FRANCISCO CARLÉ, JAUJA;DOMÉSTICO;MOVIMIENTO GENERAL;14724
20260429;2019;1;ENERO;JUNÍN;MANUEL PRADO, MAZAMARI;DOMÉSTICO;LLEGADAS;3
20260429;2019;1;ENERO;JUNÍN;MANUEL PRADO, MAZAMARI;DOMÉSTICO;SALIDAS;5
20260429;2019;1;ENERO;JUNÍN;MANUEL PRADO, MAZAMARI;DOMÉSTICO;MOVIMIENTO GENERAL;8
20260429;2019;1;ENERO;LA LIBERTAD;CAPITÁN FAP CARLOS MARTÍNEZ DE PINILLOS;DOMÉSTICO;LLEGADAS;25491
20260429;2019;1;ENERO;LA LIBERTAD;CAPITÁN FAP CARLOS MARTÍNEZ DE PINILLOS;DOMÉSTICO;SALIDAS;27400
20260429;2019;1;ENERO;LA LIBERTAD;CAPITÁN FAP CARLOS MARTÍNEZ DE PINILLOS;DOMÉSTICO;MOVIMIENTO GENERAL;52891
20260429;2019;1;ENERO;LA LIBERTAD;CAPITÁN FAP CARLOS MARTÍNEZ DE PINILLOS;INTERNACIONAL;LLEGADAS;0
20260429;2019;1;ENERO;LA LIBERTAD;CAPITÁN FAP CARLOS MARTÍNEZ DE PINILLOS;INTERNACIONAL;SALIDAS;0
20260429;2019;1;ENERO;LA LIBERTAD;CAPITÁN FAP CARLOS MARTÍNEZ DE PINILLOS;INTERNACIONAL;MOVIMIENTO GENERAL;0
20260429;2019;1;ENERO;LAMBAYEQUE;CAPITÁN FAP JOSÉ ABELARDO QUIÑONES GONZÁLES;DOMÉSTICO;LLEGADAS;21626
20260429;2019;1;ENERO;LAMBAYEQUE;CAPITÁN FAP JOSÉ ABELARDO QUIÑONES GONZÁLES;DOMÉSTICO;SALIDAS;23746
20260429;2019;1;ENERO;LAMBAYEQUE;CAPITÁN FAP JOSÉ ABELARDO QUIÑONES GONZÁLES;DOMÉSTICO;MOVIMIENTO GENERAL;45372
20260429;2019;1;ENERO;LAMBAYEQUE;CAPITÁN FAP JOSÉ ABELARDO QUIÑONES GONZÁLES;INTERNACIONAL;LLEGADAS;601
20260429;2019;1;ENERO;LAMBAYEQUE;CAPITÁN FAP JOSÉ ABELARDO QUIÑONES GONZÁLES;INTERNACIONAL;SALIDAS;800
20260429;2019;1;ENERO;LAMBAYEQUE;CAPITÁN FAP JOSÉ ABELARDO QUIÑONES GONZÁLES;INTERNACIONAL;MOVIMIENTO GENERAL;1401
20260429;2019;1;ENERO;LIMA;JORGE CHÁVEZ;DOMÉSTICO;LLEGADAS;516044
20260429;2019;1;ENERO;LIMA;JORGE CHÁVEZ;DOMÉSTICO;SALIDAS;478847
20260429;2019;1;ENERO;LIMA;JORGE CHÁVEZ;DOMÉSTICO;MOVIMIENTO GENERAL;994891
20260429;2019;1;ENERO;LIMA;JORGE CHÁVEZ;INTERNACIONAL;LLEGADAS;537211
20260429;2019;1;ENERO;LIMA;JORGE CHÁVEZ;INTERNACIONAL;SALIDAS;569021
20260429;2019;1;ENERO;LIMA;JORGE CHÁVEZ;INTERNACIONAL;MOVIMIENTO GENERAL;1106232
20260429;2019;1;ENERO;LORETO;CORONEL FAP FRANCISCO SECADA VIGNETTA;DOMÉSTICO;LLEGADAS;50715
20260429;2019;1;ENERO;LORETO;CORONEL FAP FRANCISCO SECADA VIGNETTA;DOMÉSTICO;SALIDAS;56797
20260429;2019;1;ENERO;LORETO;CORONEL FAP FRANCISCO SECADA VIGNETTA;DOMÉSTICO;MOVIMIENTO GENERAL;107512
20260429;2019;1;ENERO;LORETO;CORONEL FAP FRANCISCO SECADA VIGNETTA;INTERNACIONAL;LLEGADAS;0
20260429;2019;1;ENERO;LORETO;CORONEL FAP FRANCISCO SECADA VIGNETTA;INTERNACIONAL;SALIDAS;0
20260429;2019;1;ENERO;LORETO;CORONEL FAP FRANCISCO SECADA VIGNETTA;INTERNACIONAL;MOVIMIENTO GENERAL;0
20260429;2019;1;ENERO;LORETO;YURIMAGUAS;DOMÉSTICO;LLEGADAS;691
20260429;2019;1;ENERO;LORETO;YURIMAGUAS;DOMÉSTICO;SALIDAS;783
20260429;2019;1;ENERO;LORETO;YURIMAGUAS;DOMÉSTICO;MOVIMIENTO GENERAL;1474
20260429;2019;1;ENERO;MADRE DE DIOS;PADRE ALDAMIZ;DOMÉSTICO;LLEGADAS;10512
20260429;2019;1;ENERO;MADRE DE DIOS;PADRE ALDAMIZ;DOMÉSTICO;SALIDAS;13438
20260429;2019;1;ENERO;MADRE DE DIOS;PADRE ALDAMIZ;DOMÉSTICO;MOVIMIENTO GENERAL;23950
20260429;2019;1;ENERO;MADRE DE DIOS;PADRE ALDAMIZ;INTERNACIONAL;LLEGADAS;0
20260429;2019;1;ENERO;MADRE DE DIOS;PADRE ALDAMIZ;INTERNACIONAL;SALIDAS;0
20260429;2019;1;ENERO;MADRE DE DIOS;PADRE ALDAMIZ;INTERNACIONAL;MOVIMIENTO GENERAL;0
20260429;2019;1;ENERO;MOQUEGUA;ILO;DOMÉSTICO;LLEGADAS;0
20260429;2019;1;ENERO;MOQUEGUA;ILO;DOMÉSTICO;SALIDAS;0
20260429;2019;1;ENERO;MOQUEGUA;ILO;DOMÉSTICO;MOVIMIENTO GENERAL;0
20260429;2019;1;ENERO;PIURA;CAPITÁN  FAP VICTOR MONTES ARIAS, TALARA;DOMÉSTICO;LLEGADAS;17515
20260429;2019;1;ENERO;PIURA;CAPITÁN  FAP VICTOR MONTES ARIAS, TALARA;DOMÉSTICO;SALIDAS;18457
20260429;2019;1;ENERO;PIURA;CAPITÁN  FAP VICTOR MONTES ARIAS, TALARA;DOMÉSTICO;MOVIMIENTO GENERAL;35972
20260429;2019;1;ENERO;PIURA;CAPITÁN  FAP VICTOR MONTES ARIAS, TALARA;INTERNACIONAL;LLEGADAS;0
20260429;2019;1;ENERO;PIURA;CAPITÁN  FAP VICTOR MONTES ARIAS, TALARA;INTERNACIONAL;SALIDAS;0
20260429;2019;1;ENERO;PIURA;CAPITÁN  FAP VICTOR MONTES ARIAS, TALARA;INTERNACIONAL;MOVIMIENTO GENERAL;0
20260429;2019;1;ENERO;PIURA;CAPITÁN FAP GUILLERMO CONCHA IBERICO;DOMÉSTICO;LLEGADAS;41820
20260429;2019;1;ENERO;PIURA;CAPITÁN FAP GUILLERMO CONCHA IBERICO;DOMÉSTICO;SALIDAS;45851
